"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,104,"ISL","Iceland",1,"Austurland",1,"Austur-Hérað","IS.AL.SM",NA,"7618","Sveitarfélög ","Municipality","",""
2,104,"ISL","Iceland",1,"Austurland",2,"Búðahreppur","IS.AL.SM",NA,"7611","Sveitarfélög ","Municipality","",""
3,104,"ISL","Iceland",1,"Austurland",3,"Borgarfjarðarhreppur","IS.AL.NM",NA,"7509","Sveitarfélög ","Municipality","",""
4,104,"ISL","Iceland",1,"Austurland",4,"Breiðdalshreppur","IS.AL.SM",NA,"7613","Sveitarfélög ","Municipality","",""
5,104,"ISL","Iceland",1,"Austurland",5,"Djúpavogshreppur","IS.AL.SM",NA,"7617","Sveitarfélög ","Municipality","",""
6,104,"ISL","Iceland",1,"Austurland",6,"Fáskrúðsfjarðarhr.","IS.AL.SM",NA,"7610","Sveitarfélög ","Municipality","",""
7,104,"ISL","Iceland",1,"Austurland",7,"Fellahreppur","IS.AL.NM",NA,"7506","Sveitarfélög ","Municipality","",""
8,104,"ISL","Iceland",1,"Austurland",8,"Fjarðabyggð","IS.AL.ES",NA,"7300","Sveitarfélög ","Municipality","",""
9,104,"ISL","Iceland",1,"Austurland",9,"Fljótsdalshreppur","IS.AL.NM",NA,"7505","Sveitarfélög ","Municipality","",""
10,104,"ISL","Iceland",1,"Austurland",10,"Mjóafjarðarhreppur","IS.AL.SM",NA,"7605","Sveitarfélög ","Municipality","",""
11,104,"ISL","Iceland",1,"Austurland",11,"Norður-Hérað","IS.AL.NM",NA,"7512","Sveitarfélög ","Municipality","",""
12,104,"ISL","Iceland",1,"Austurland",12,"Seyðisfjörður","IS.AL.SY",NA,"7000","Sveitarfélög ","Municipality","",""
13,104,"ISL","Iceland",1,"Austurland",13,"Skeggjastaðahreppur","IS.AL.NM",NA,"7501","Sveitarfélög ","Municipality","",""
14,104,"ISL","Iceland",1,"Austurland",14,"Stöðvarhreppur","IS.AL.SM",NA,"7612","Sveitarfélög ","Municipality","",""
15,104,"ISL","Iceland",1,"Austurland",15,"Sveitarfélagið Hornafjörður","IS.AL.AS",NA,"7708","Sveitarfélög ","Municipality","",""
16,104,"ISL","Iceland",1,"Austurland",16,"Vopnafjarðarhreppur","IS.AL.NM",NA,"7502","Sveitarfélög ","Municipality","",""
17,104,"ISL","Iceland",2,"Hálshreppur",17,"Öxarfjarðarhreppur","IS.NE.NT",NA,"6702","Sveitarfélög ","Municipality","",""
18,104,"ISL","Iceland",2,"Hálshreppur",18,"Öxnadalshreppur","",NA,"6508","Sveitarfélög ","Municipality","",""
19,104,"ISL","Iceland",2,"Hálshreppur",19,"Ólafsfjörður","IS.NE.OF",NA,"6200","Sveitarfélög ","Municipality","",""
20,104,"ISL","Iceland",2,"Hálshreppur",20,"Aðaldælahreppur","IS.NE.ST",NA,"6609","Sveitarfélög ","Municipality","",""
21,104,"ISL","Iceland",2,"Hálshreppur",21,"Akureyri","IS.NE.AY",NA,"6000","Sveitarfélög ","Municipality","",""
22,104,"ISL","Iceland",2,"Hálshreppur",22,"Arnarneshreppur","IS.NE.EY",NA,"6506","Sveitarfélög ","Municipality","",""
23,104,"ISL","Iceland",2,"Hálshreppur",23,"Þórshafnarhreppur","IS.NE.NT",NA,"6707","Sveitarfélög ","Municipality","",""
24,104,"ISL","Iceland",2,"Hálshreppur",24,"Bárðdælahreppur","",NA,"6606","Sveitarfélög ","Municipality","",""
25,104,"ISL","Iceland",2,"Hálshreppur",25,"Dalvíkurbyggð","IS.NE.DV",NA,"6400","Sveitarfélög ","Municipality","",""
26,104,"ISL","Iceland",2,"Hálshreppur",26,"Eyjafjarðarsveit","IS.NE.EY",NA,"6513","Sveitarfélög ","Municipality","",""
27,104,"ISL","Iceland",2,"Hálshreppur",27,"Glæsibæjarhreppur","",NA,"6509","Sveitarfélög ","Municipality","",""
28,104,"ISL","Iceland",2,"Hálshreppur",28,"Grýtubakkahreppur","IS.NE.ST",NA,"6602","Sveitarfélög ","Municipality","",""
29,104,"ISL","Iceland",2,"Hálshreppur",29,"Grímseyjarhreppur","",NA,"6501","Sveitarfélög ","Municipality","",""
30,104,"ISL","Iceland",2,"Hálshreppur",30,"Hálshreppur","",NA,"6604","Sveitarfélög ","Municipality","",""
31,104,"ISL","Iceland",2,"Hálshreppur",31,"Húsavík","IS.NE.HS",NA,"6100","Sveitarfélög ","Municipality","",""
32,104,"ISL","Iceland",2,"Hálshreppur",32,"Hríseyjarhreppur","IS.NE.EY",NA,"6504","Sveitarfélög ","Municipality","",""
33,104,"ISL","Iceland",2,"Hálshreppur",33,"Kelduneshreppur","IS.NE.NT",NA,"6701","Sveitarfélög ","Municipality","",""
34,104,"ISL","Iceland",2,"Hálshreppur",34,"Ljósavatnshreppur","",NA,"6605","Sveitarfélög ","Municipality","",""
35,104,"ISL","Iceland",2,"Hálshreppur",35,"Reykdælahreppur","",NA,"6608","Sveitarfélög ","Municipality","",""
36,104,"ISL","Iceland",2,"Hálshreppur",36,"Reykjahreppur","",NA,"6610","Sveitarfélög ","Municipality","",""
37,104,"ISL","Iceland",2,"Hálshreppur",37,"Siglufjörður","IS.NV.SI",NA,"5000","Sveitarfélög ","Municipality","",""
38,104,"ISL","Iceland",2,"Hálshreppur",38,"Skútustaðahreppur","IS.NE.ST",NA,"6607","Sveitarfélög ","Municipality","",""
39,104,"ISL","Iceland",2,"Hálshreppur",39,"Skriðuhreppur","",NA,"6507","Sveitarfélög ","Municipality","",""
40,104,"ISL","Iceland",2,"Hálshreppur",40,"Svalbarðshreppur","IS.NE.NT",NA,"6706","Sveitarfélög ","Municipality","",""
41,104,"ISL","Iceland",2,"Hálshreppur",41,"Tjörneshreppur","IS.NE.ST",NA,"6611","Sveitarfélög ","Municipality","",""
42,104,"ISL","Iceland",3,"Höfuðborgarsvæði",42,"Bessastaðahreppur","IS.HO.KJ",NA,"1603","Sveitarfélög ","Municipality","",""
43,104,"ISL","Iceland",3,"Höfuðborgarsvæði",43,"Garðabær","IS.HO.GA",NA,"1300","Sveitarfélög ","Municipality","",""
44,104,"ISL","Iceland",3,"Höfuðborgarsvæði",44,"Hafnarfjörður","IS.HO.HF",NA,"1400","Sveitarfélög ","Municipality","",""
45,104,"ISL","Iceland",3,"Höfuðborgarsvæði",45,"Kópavogur","IS.HO.KP",NA,"1000","Sveitarfélög ","Municipality","",""
46,104,"ISL","Iceland",3,"Höfuðborgarsvæði",46,"Kjósarhreppur","IS.HO.KJ",NA,"1606","Sveitarfélög ","Municipality","",""
47,104,"ISL","Iceland",3,"Höfuðborgarsvæði",47,"Mosfellsbær","IS.HO.KJ",NA,"1604","Sveitarfélög ","Municipality","",""
48,104,"ISL","Iceland",3,"Höfuðborgarsvæði",48,"Reykjavík","IS.HO.RK",NA,"0000","Sveitarfélög ","Municipality","",""
49,104,"ISL","Iceland",4,"Norðurland vestra",49,"Áshreppur","IS.NV.AH",NA,"5601","Sveitarfélög ","Municipality","",""
50,104,"ISL","Iceland",4,"Norðurland vestra",50,"Akrahreppur","IS.NV.SG",NA,"5706","Sveitarfélög ","Municipality","",""
51,104,"ISL","Iceland",4,"Norðurland vestra",51,"Bólstaðarhlíðarhreppur","IS.NV.AH",NA,"5606","Sveitarfélög ","Municipality","",""
52,104,"ISL","Iceland",4,"Norðurland vestra",52,"Blönduós","IS.NV.AH",NA,"5604","Sveitarfélög ","Municipality","",""
53,104,"ISL","Iceland",4,"Norðurland vestra",53,"Engihlíðarhreppur","",NA,"5607","Sveitarfélög ","Municipality","",""
54,104,"ISL","Iceland",4,"Norðurland vestra",54,"Höfðahreppur","IS.NV.AH",NA,"5609","Sveitarfélög ","Municipality","",""
55,104,"ISL","Iceland",4,"Norðurland vestra",55,"Húnaþing vestra","IS.NV.VH",NA,"5508","Sveitarfélög ","Municipality","",""
56,104,"ISL","Iceland",4,"Norðurland vestra",56,"Skagahreppur","",NA,"5610","Sveitarfélög ","Municipality","",""
57,104,"ISL","Iceland",4,"Norðurland vestra",57,"Svínavatnshreppur","IS.NV.AH",NA,"5605","Sveitarfélög ","Municipality","",""
58,104,"ISL","Iceland",4,"Norðurland vestra",58,"Sveinsstaðahreppur","IS.NV.AH",NA,"5602","Sveitarfélög ","Municipality","",""
59,104,"ISL","Iceland",4,"Norðurland vestra",59,"Sveitarfélagið Skagafjörður","IS.NV.SK",NA,"5200","Sveitarfélög ","Municipality","",""
60,104,"ISL","Iceland",4,"Norðurland vestra",60,"Torfalækjarhreppur","IS.NV.AH",NA,"5603","Sveitarfélög ","Municipality","",""
61,104,"ISL","Iceland",4,"Norðurland vestra",61,"Vindhælishreppur","",NA,"5608","Sveitarfélög ","Municipality","",""
62,104,"ISL","Iceland",5,"Suðurland",62,"Ölfushreppur","IS.SL.AR",NA,"8717","Sveitarfélög ","Municipality","",""
63,104,"ISL","Iceland",5,"Suðurland",63,"Ásahreppur","IS.SL.RA",NA,"8610","Sveitarfélög ","Municipality","",""
64,104,"ISL","Iceland",5,"Suðurland",64,"Austur-Eyjafjallahreppur","",NA,"8601","Sveitarfélög ","Municipality","",""
65,104,"ISL","Iceland",5,"Suðurland",65,"Austur-Landeyjahreppur","",NA,"8603","Sveitarfélög ","Municipality","",""
66,104,"ISL","Iceland",5,"Suðurland",66,"Þingvallahreppur","",NA,"8714","Sveitarfélög ","Municipality","",""
67,104,"ISL","Iceland",5,"Suðurland",67,"Biskupstungnahreppur","",NA,"8711","Sveitarfélög ","Municipality","",""
68,104,"ISL","Iceland",5,"Suðurland",68,"Djúpárhreppur","",NA,"8611","Sveitarfélög ","Municipality","",""
69,104,"ISL","Iceland",5,"Suðurland",69,"Fljótshlíðarhreppur","",NA,"8605","Sveitarfélög ","Municipality","",""
70,104,"ISL","Iceland",5,"Suðurland",70,"Gaulverjabæjarhreppur","IS.SL.AR",NA,"8701","Sveitarfélög ","Municipality","",""
71,104,"ISL","Iceland",5,"Suðurland",71,"Gnúpverjahreppur","",NA,"8709","Sveitarfélög ","Municipality","",""
72,104,"ISL","Iceland",5,"Suðurland",72,"Grímsnes- og Grafningshreppur","IS.SL.AR",NA,"8719","Sveitarfélög ","Municipality","",""
73,104,"ISL","Iceland",5,"Suðurland",73,"Holta- og Landasveit","",NA,"8612","Sveitarfélög ","Municipality","",""
74,104,"ISL","Iceland",5,"Suðurland",74,"Hraungerðishreppur","IS.SL.AR",NA,"8706","Sveitarfélög ","Municipality","",""
75,104,"ISL","Iceland",5,"Suðurland",75,"Hrunamannahreppur","IS.SL.AR",NA,"8710","Sveitarfélög ","Municipality","",""
76,104,"ISL","Iceland",5,"Suðurland",76,"Hveragerði","IS.SL.AR",NA,"8716","Sveitarfélög ","Municipality","",""
77,104,"ISL","Iceland",5,"Suðurland",77,"Hvolhreppur","",NA,"8606","Sveitarfélög ","Municipality","",""
78,104,"ISL","Iceland",5,"Suðurland",78,"Laugardalshreppur","",NA,"8712","Sveitarfélög ","Municipality","",""
79,104,"ISL","Iceland",5,"Suðurland",79,"Mýrdalshreppur","IS.SL.VS",NA,"8508","Sveitarfélög ","Municipality","",""
80,104,"ISL","Iceland",5,"Suðurland",80,"Rangárvallahreppur","",NA,"8607","Sveitarfélög ","Municipality","",""
81,104,"ISL","Iceland",5,"Suðurland",81,"Skaftárhreppur","IS.SL.VS",NA,"8509","Sveitarfélög ","Municipality","",""
82,104,"ISL","Iceland",5,"Suðurland",82,"Skeiðahreppur","",NA,"8708","Sveitarfélög ","Municipality","",""
83,104,"ISL","Iceland",5,"Suðurland",83,"Sveitarfélagið Árborg","IS.SL.SS",NA,"8200","Sveitarfélög ","Municipality","",""
84,104,"ISL","Iceland",5,"Suðurland",84,"Uten navn - sysla","",NA,"9999","Sveitarfélög ","Municipality","",""
85,104,"ISL","Iceland",5,"Suðurland",85,"Vestmannaeyjar","IS.SL.VM",NA,"8000","Sveitarfélög ","Municipality","",""
86,104,"ISL","Iceland",5,"Suðurland",86,"Vestur-Eyjafjallahreppur","",NA,"8602","Sveitarfélög ","Municipality","",""
87,104,"ISL","Iceland",5,"Suðurland",87,"Vestur-Landeyjahreppur","",NA,"8604","Sveitarfélög ","Municipality","",""
88,104,"ISL","Iceland",5,"Suðurland",88,"Villingaholtshreppur","IS.SL.AR",NA,"8707","Sveitarfélög ","Municipality","",""
89,104,"ISL","Iceland",6,"Suðurnes",89,"Grindavík","IS.SU.GR",NA,"2300","Sveitarfélög ","Municipality","",""
90,104,"ISL","Iceland",6,"Suðurnes",90,"Reykjanesbær","IS.SU.KF",NA,"2000","Sveitarfélög ","Municipality","",""
91,104,"ISL","Iceland",6,"Suðurnes",91,"Sandgerði","IS.SU.GU",NA,"2503","Sveitarfélög ","Municipality","",""
92,104,"ISL","Iceland",6,"Suðurnes",92,"Vatnsleysustrandarhreppur","IS.SU.GU",NA,"2506","Sveitarfélög ","Municipality","",""
93,104,"ISL","Iceland",7,"Vestfirðir",93,"Árneshreppur","IS.VF.SD",NA,"4901","Sveitarfélög ","Municipality","",""
94,104,"ISL","Iceland",7,"Vestfirðir",94,"Ísafjarðarbær","IS.VF.IS",NA,"4200","Sveitarfélög ","Municipality","",""
95,104,"ISL","Iceland",7,"Vestfirðir",95,"Bæjarhreppur","IS.VF.SD",NA,"4908","Sveitarfélög ","Municipality","",""
96,104,"ISL","Iceland",7,"Vestfirðir",96,"Bolungarvík","IS.VF.BL",NA,"4100","Sveitarfélög ","Municipality","",""
97,104,"ISL","Iceland",7,"Vestfirðir",97,"Broddaneshreppur","IS.VF.SD",NA,"4909","Sveitarfélög ","Municipality","",""
98,104,"ISL","Iceland",7,"Vestfirðir",98,"Hólmavíkurhreppur","",NA,"4904","Sveitarfélög ","Municipality","",""
99,104,"ISL","Iceland",7,"Vestfirðir",99,"Kaldrananeshreppur","IS.VF.SD",NA,"4902","Sveitarfélög ","Municipality","",""
100,104,"ISL","Iceland",7,"Vestfirðir",100,"Kirkjubólshreppur","",NA,"4905","Sveitarfélög ","Municipality","",""
101,104,"ISL","Iceland",7,"Vestfirðir",101,"Reykhólahreppur","IS.VF.AB",NA,"4502","Sveitarfélög ","Municipality","",""
102,104,"ISL","Iceland",7,"Vestfirðir",102,"Súðavíkurhreppur","IS.VF.NI",NA,"4803","Sveitarfélög ","Municipality","",""
103,104,"ISL","Iceland",7,"Vestfirðir",103,"Vesturbyggð","IS.VF.VB",NA,"4607","Sveitarfélög ","Municipality","",""
104,104,"ISL","Iceland",8,"Vesturland",104,"Akranes","IS.VL.AK",NA,"3000","Sveitarfélög ","Municipality","",""
105,104,"ISL","Iceland",8,"Vesturland",105,"Borgarbyggð","IS.VL.MY",NA,"3609","Sveitarfélög ","Municipality","",""
106,104,"ISL","Iceland",8,"Vesturland",106,"Borgarfjarðarsveit","IS.VL.BF",NA,"3510","Sveitarfélög ","Municipality","",""
107,104,"ISL","Iceland",8,"Vesturland",107,"Dalabyggð","IS.VL.DS",NA,"3811","Sveitarfélög ","Municipality","",""
108,104,"ISL","Iceland",8,"Vesturland",108,"Eyja- og Miklaholtshreppur","IS.VL.SH",NA,"3713","Sveitarfélög ","Municipality","",""
109,104,"ISL","Iceland",8,"Vesturland",109,"Eyrarsveit","IS.VL.SH",NA,"3709","Sveitarfélög ","Municipality","",""
110,104,"ISL","Iceland",8,"Vesturland",110,"Helgafellssveit","IS.VL.SH",NA,"3710","Sveitarfélög ","Municipality","",""
111,104,"ISL","Iceland",8,"Vesturland",111,"Hvalfjarðarstrandarhreppur","IS.VL.BF",NA,"3501","Sveitarfélög ","Municipality","",""
112,104,"ISL","Iceland",8,"Vesturland",112,"Hvítársíðuhreppur","IS.VL.MY",NA,"3601","Sveitarfélög ","Municipality","",""
113,104,"ISL","Iceland",8,"Vesturland",113,"Innri-Akraneshreppur","IS.VL.BF",NA,"3503","Sveitarfélög ","Municipality","",""
114,104,"ISL","Iceland",8,"Vesturland",114,"Kolbeinsstaðahreppur","IS.VL.SH",NA,"3701","Sveitarfélög ","Municipality","",""
115,104,"ISL","Iceland",8,"Vesturland",115,"Leirár- og Melahreppur","IS.VL.BF",NA,"3504","Sveitarfélög ","Municipality","",""
116,104,"ISL","Iceland",8,"Vesturland",116,"Saurbæjarhreppur","IS.VL.DS",NA,"3809","Sveitarfélög ","Municipality","",""
117,104,"ISL","Iceland",8,"Vesturland",117,"Skilmannahreppur","IS.VL.BF",NA,"3502","Sveitarfélög ","Municipality","",""
118,104,"ISL","Iceland",8,"Vesturland",118,"Skorradalshreppur","IS.VL.BF",NA,"3506","Sveitarfélög ","Municipality","",""
119,104,"ISL","Iceland",8,"Vesturland",119,"Snæfellsbær","IS.VL.SH",NA,"3714","Sveitarfélög ","Municipality","",""
